scientific_name,common_name,iconic_taxon_name,taxon_id,taxon_kingdom_name,taxon_phylum_name,taxon_subphylum_name,taxon_superclass_name,taxon_class_name,broad_category,specific_category,taxon_subclass_name,taxon_superorder_name,taxon_order_name,taxon_suborder_name,taxon_superfamily_name,taxon_family_name,taxon_subfamily_name,taxon_supertribe_name,taxon_tribe_name,taxon_subtribe_name,taxon_genus_name,taxon_genushybrid_name,taxon_species_name,taxon_hybrid_name,taxon_subspecies_name,taxon_variety_name,taxon_form_name
Triepeolus rufithorax,Florida Longhorn-Cuckoo,Insecta,764978,Animalia,Arthropoda,Hexapoda,NA,Insecta,bee,,Pterygota,,Hymenoptera,Apocrita,Apoidea,Apidae,Nomadinae,,Epeolini,,Triepeolus,NA,Triepeolus rufithorax,,,,
Pseudoanthidium canariense,Canary Islands Small-Woolcarder,Insecta,434302,Animalia,Arthropoda,Hexapoda,NA,Insecta,bee,,Pterygota,,Hymenoptera,Apocrita,Apoidea,Megachilidae,Megachilinae,,Anthidiini,,Pseudoanthidium,NA,Pseudoanthidium canariense,,,,
Andrena transnigra,Black-banded Mining Bee,Insecta,213600,Animalia,Arthropoda,Hexapoda,NA,Insecta,bee,,Pterygota,,Hymenoptera,Apocrita,Apoidea,Andrenidae,Andreninae,,Andrenini,,Andrena,NA,Andrena transnigra,,,,
Bombus cryptarum,Cryptic Bumble Bee,Insecta,453068,Animalia,Arthropoda,Hexapoda,NA,Insecta,bee,,Pterygota,,Hymenoptera,Apocrita,Apoidea,Apidae,Apinae,,Bombini,,Bombus,NA,Bombus cryptarum,,,,
Lasioglossum batya,,Insecta,1229801,Animalia,Arthropoda,Hexapoda,NA,Insecta,bee,,Pterygota,,Hymenoptera,Apocrita,Apoidea,Halictidae,Halictinae,,Halictini,,Lasioglossum,NA,Lasioglossum batya,,,,
Centris errans,Wandering Centris,Insecta,216358,Animalia,Arthropoda,Hexapoda,NA,Insecta,bee,,Pterygota,,Hymenoptera,Apocrita,Apoidea,Apidae,Apinae,,Centridini,,Centris,NA,Centris errans,,,,
Colletes nudus,Sumac Cellophane Bee,Insecta,217445,Animalia,Arthropoda,Hexapoda,NA,Insecta,bee,,Pterygota,,Hymenoptera,Apocrita,Apoidea,Colletidae,Colletinae,,,,Colletes,NA,Colletes nudus,,,,
Chelostoma philadelphi,Mock-orange Scissor Bee,Insecta,452986,Animalia,Arthropoda,Hexapoda,NA,Insecta,bee,,Pterygota,,Hymenoptera,Apocrita,Apoidea,Megachilidae,Megachilinae,,Osmiini,,Chelostoma,NA,Chelostoma philadelphi,,,,
Andrena clarkella,Clark's Mining Bee,Insecta,198998,Animalia,Arthropoda,Hexapoda,NA,Insecta,bee,,Pterygota,,Hymenoptera,Apocrita,Apoidea,Andrenidae,Andreninae,,Andrenini,,Andrena,NA,Andrena clarkella,,,,
Andrena vaga,Grey-backed Mining Bee,Insecta,355696,Animalia,Arthropoda,Hexapoda,NA,Insecta,bee,,Pterygota,,Hymenoptera,Apocrita,Apoidea,Andrenidae,Andreninae,,Andrenini,,Andrena,NA,Andrena vaga,,,,
Ceratina floridana,Floridian Small Carpenter,Insecta,572770,Animalia,Arthropoda,Hexapoda,NA,Insecta,bee,,Pterygota,,Hymenoptera,Apocrita,Apoidea,Apidae,Xylocopinae,,Ceratinini,,Ceratina,NA,Ceratina floridana,,,,
Megachile bahamensis,,Insecta,803693,Animalia,Arthropoda,Hexapoda,NA,Insecta,bee,,Pterygota,,Hymenoptera,Apocrita,Apoidea,Megachilidae,Megachilinae,,Megachilini,,Megachile,NA,Megachile bahamensis,,,,
Coelioxys slossoni slossoni,,Insecta,1057183,Animalia,Arthropoda,Hexapoda,NA,Insecta,bee,,Pterygota,,Hymenoptera,Apocrita,Apoidea,Megachilidae,Megachilinae,,Megachilini,,Coelioxys,NA,Coelioxys slossoni,,Coelioxys slossoni slossoni,,
Goeletapis,,Insecta,574270,Animalia,Arthropoda,Hexapoda,NA,Insecta,bee,,Pterygota,,Hymenoptera,Apocrita,Apoidea,Halictidae,Rophitinae,,,,Goeletapis,NA,,,,,
Nomada luteoloides,Black-and-yellow Nomad Bee,Insecta,1426461,Animalia,Arthropoda,Hexapoda,NA,Insecta,bee,,Pterygota,,Hymenoptera,Apocrita,Apoidea,Apidae,Nomadinae,,Nomadini,,Nomada,NA,Nomada luteoloides,,,,
Apis mellifera unicolor,Malagasy Honey Bee,Insecta,469402,Animalia,Arthropoda,Hexapoda,NA,Insecta,bee,,Pterygota,,Hymenoptera,Apocrita,Apoidea,Apidae,Apinae,,Apini,,Apis,NA,Apis mellifera,,Apis mellifera unicolor,,
Melecta albifrons,Common Mourning Bee,Insecta,461052,Animalia,Arthropoda,Hexapoda,NA,Insecta,bee,,Pterygota,,Hymenoptera,Apocrita,Apoidea,Apidae,Apinae,,Melectini,,Melecta,NA,Melecta albifrons,,,,
Holcopasites calliopsidis,Calliopsis Cuckoo Nomad Bee,Insecta,271580,Animalia,Arthropoda,Hexapoda,NA,Insecta,bee,,Pterygota,,Hymenoptera,Apocrita,Apoidea,Apidae,Nomadinae,,Ammobatoidini,,Holcopasites,NA,Holcopasites calliopsidis,,,,
Bembecinus,,Insecta,250790,Animalia,Arthropoda,Hexapoda,NA,Insecta,bee,,Pterygota,,Hymenoptera,Apocrita,Apoidea,Crabronidae,Bembicinae,,Bembicini,Stizina,Bembecinus,NA,,,,,
Braunsapis,Black Reed Bees,Insecta,500771,Animalia,Arthropoda,Hexapoda,NA,Insecta,bee,,Pterygota,,Hymenoptera,Apocrita,Apoidea,Apidae,Xylocopinae,,Allodapini,,Braunsapis,NA,,,,,
Anthophora bomboides,Bumblebee-like Digger Bee,Insecta,198855,Animalia,Arthropoda,Hexapoda,NA,Insecta,bee,,Pterygota,,Hymenoptera,Apocrita,Apoidea,Apidae,Apinae,,Anthophorini,,Anthophora,NA,Anthophora bomboides,,,,
Nomada integra,Cat's-ear Nomad Bee,Insecta,1426481,Animalia,Arthropoda,Hexapoda,NA,Insecta,bee,,Pterygota,,Hymenoptera,Apocrita,Apoidea,Apidae,Nomadinae,,Nomadini,,Nomada,NA,Nomada integra,,,,
Cerceris blakei,,Insecta,1274567,Animalia,Arthropoda,Hexapoda,NA,Insecta,bee,,Pterygota,,Hymenoptera,Apocrita,Apoidea,Crabronidae,Philanthinae,,Cercerini,,Cerceris,NA,Cerceris blakei,,,,
Rhodanthidium septemdentatum,Seven-toothed Red-Resin bee,Insecta,501165,Animalia,Arthropoda,Hexapoda,NA,Insecta,bee,,Pterygota,,Hymenoptera,Apocrita,Apoidea,Megachilidae,Megachilinae,,Anthidiini,,Rhodanthidium,NA,Rhodanthidium septemdentatum,,,,
Osmia montana quadriceps,,Insecta,700377,Animalia,Arthropoda,Hexapoda,NA,Insecta,bee,,Pterygota,,Hymenoptera,Apocrita,Apoidea,Megachilidae,Megachilinae,,Osmiini,,Osmia,NA,Osmia montana,,Osmia montana quadriceps,,
Halictus subauratus,Golden Furrow Bee,Insecta,480790,Animalia,Arthropoda,Hexapoda,NA,Insecta,bee,,Pterygota,,Hymenoptera,Apocrita,Apoidea,Halictidae,Halictinae,,Halictini,,Halictus,NA,Halictus subauratus,,,,
Agapostemon nasutus,Concave-nosed Striped-Sweat bee,Insecta,307035,Animalia,Arthropoda,Hexapoda,NA,Insecta,bee,,Pterygota,,Hymenoptera,Apocrita,Apoidea,Halictidae,Halictinae,,Halictini,,Agapostemon,NA,Agapostemon nasutus,,,,
Lasioglossum versatum,Experienced Sweat Bee,Insecta,452971,Animalia,Arthropoda,Hexapoda,NA,Insecta,bee,,Pterygota,,Hymenoptera,Apocrita,Apoidea,Halictidae,Halictinae,,Halictini,,Lasioglossum,NA,Lasioglossum versatum,,,,
Xylocopa aerata,Golden-green Carpenter Bee,Insecta,522827,Animalia,Arthropoda,Hexapoda,NA,Insecta,bee,,Pterygota,,Hymenoptera,Apocrita,Apoidea,Apidae,Xylocopinae,,Xylocopini,,Xylocopa,NA,Xylocopa aerata,,,,
Tachytes crassus,,Insecta,538963,Animalia,Arthropoda,Hexapoda,NA,Insecta,bee,,Pterygota,,Hymenoptera,Apocrita,Apoidea,Crabronidae,Crabroninae,,Larrini,Gastrosericina,Tachytes,NA,Tachytes crassus,,,,
Melecta pacifica,,Insecta,236822,Animalia,Arthropoda,Hexapoda,NA,Insecta,bee,,Pterygota,,Hymenoptera,Apocrita,Apoidea,Apidae,Apinae,,Melectini,,Melecta,NA,Melecta pacifica,,,,
Ceratina dallatorreana,,Insecta,361438,Animalia,Arthropoda,Hexapoda,NA,Insecta,bee,,Pterygota,,Hymenoptera,Apocrita,Apoidea,Apidae,Xylocopinae,,Ceratinini,,Ceratina,NA,Ceratina dallatorreana,,,,
Nysson plagiatus,,Insecta,496519,Animalia,Arthropoda,Hexapoda,NA,Insecta,bee,,Pterygota,,Hymenoptera,Apocrita,Apoidea,Crabronidae,Bembicinae,,Nyssonini,Nyssonina,Nysson,NA,Nysson plagiatus,,,,
Habropoda tristissima,Dimorphic Mountain-digger Bee,Insecta,270789,Animalia,Arthropoda,Hexapoda,NA,Insecta,bee,,Pterygota,,Hymenoptera,Apocrita,Apoidea,Apidae,Apinae,,Anthophorini,,Habropoda,NA,Habropoda tristissima,,,,
Microbembex monodonta,,Insecta,265815,Animalia,Arthropoda,Hexapoda,NA,Insecta,bee,,Pterygota,,Hymenoptera,Apocrita,Apoidea,Crabronidae,Bembicinae,,Bembicini,Bembicina,Microbembex,NA,Microbembex monodonta,,,,
Stelis,,Insecta,625912,Animalia,Arthropoda,Hexapoda,NA,Insecta,bee,,Pterygota,,Hymenoptera,Apocrita,Apoidea,Megachilidae,Megachilinae,,Anthidiini,,Stelis,NA,,,,,
Lasioglossum callidum,Crafty Sweat Bee,Insecta,452959,Animalia,Arthropoda,Hexapoda,NA,Insecta,bee,,Pterygota,,Hymenoptera,Apocrita,Apoidea,Halictidae,Halictinae,,Halictini,,Lasioglossum,NA,Lasioglossum callidum,,,,
Andrena hattorfiana,Large Scabious Mining Bee,Insecta,424814,Animalia,Arthropoda,Hexapoda,NA,Insecta,bee,,Pterygota,,Hymenoptera,Apocrita,Apoidea,Andrenidae,Andreninae,,Andrenini,,Andrena,NA,Andrena hattorfiana,,,,
Sphex dorsalis,,Insecta,300132,Animalia,Arthropoda,Hexapoda,NA,Insecta,bee,,Pterygota,,Hymenoptera,Apocrita,Apoidea,Sphecidae,Sphecinae,,Sphecini,,Sphex,NA,Sphex dorsalis,,,,
Epeolus glabratus,Smooth Cellophane-cuckoo Bee,Insecta,924638,Animalia,Arthropoda,Hexapoda,NA,Insecta,bee,,Pterygota,,Hymenoptera,Apocrita,Apoidea,Apidae,Nomadinae,,Epeolini,,Epeolus,NA,Epeolus glabratus,,,,
Macropis nuda,Dark-legged Yellow Loosestrife Bee,Insecta,199154,Animalia,Arthropoda,Hexapoda,NA,Insecta,bee,,Pterygota,,Hymenoptera,Apocrita,Apoidea,Melittidae,Melittinae,,,,Macropis,NA,Macropis nuda,,,,
Rubrica nasuta,,Insecta,423646,Animalia,Arthropoda,Hexapoda,NA,Insecta,bee,,Pterygota,,Hymenoptera,Apocrita,Apoidea,Crabronidae,Bembicinae,,Bembicini,Bembicina,Rubrica,NA,Rubrica nasuta,,,,
Oxybelus emarginatus,,Insecta,203317,Animalia,Arthropoda,Hexapoda,NA,Insecta,bee,,Pterygota,,Hymenoptera,Apocrita,Apoidea,Crabronidae,Crabroninae,,Oxybelini,,Oxybelus,NA,Oxybelus emarginatus,,,,
Amegilla garrula,,Insecta,703061,Animalia,Arthropoda,Hexapoda,NA,Insecta,bee,,Pterygota,,Hymenoptera,Apocrita,Apoidea,Apidae,Apinae,,Anthophorini,,Amegilla,NA,Amegilla garrula,,,,
Stelis punctulatissima,Banded Dark Bee,Insecta,484585,Animalia,Arthropoda,Hexapoda,NA,Insecta,bee,,Pterygota,,Hymenoptera,Apocrita,Apoidea,Megachilidae,Megachilinae,,Anthidiini,,Stelis,NA,Stelis punctulatissima,,,,
Amegilla,Blue-banded and Allied Digger Bees,Insecta,199450,Animalia,Arthropoda,Hexapoda,NA,Insecta,bee,,Pterygota,,Hymenoptera,Apocrita,Apoidea,Apidae,Apinae,,Anthophorini,,Amegilla,NA,,,,,
Melissodes microstictus,Small Long-horned Bee,Insecta,747170,Animalia,Arthropoda,Hexapoda,NA,Insecta,bee,,Pterygota,,Hymenoptera,Apocrita,Apoidea,Apidae,Apinae,,Eucerini,,Melissodes,NA,Melissodes microstictus,,,,
Leuchalictus,,Insecta,569268,Animalia,Arthropoda,Hexapoda,NA,Insecta,bee,,Pterygota,,Hymenoptera,Apocrita,Apoidea,Halictidae,Halictinae,,Halictini,,Lasioglossum,NA,,,,,
Chelostoma rapunculi,Rampion Scissor Bee,Insecta,357471,Animalia,Arthropoda,Hexapoda,NA,Insecta,bee,,Pterygota,,Hymenoptera,Apocrita,Apoidea,Megachilidae,Megachilinae,,Osmiini,,Chelostoma,NA,Chelostoma rapunculi,,,,
Hylaeus punctulatissimus,Onion Yellow-face Bee,Insecta,484500,Animalia,Arthropoda,Hexapoda,NA,Insecta,bee,,Pterygota,,Hymenoptera,Apocrita,Apoidea,Colletidae,Hylaeinae,,,,Hylaeus,NA,Hylaeus punctulatissimus,,,,
Osmia texana,Texas Mason Bee,Insecta,226684,Animalia,Arthropoda,Hexapoda,NA,Insecta,bee,,Pterygota,,Hymenoptera,Apocrita,Apoidea,Megachilidae,Megachilinae,,Osmiini,,Osmia,NA,Osmia texana,,,,
Osmia andrenoides,,Insecta,543186,Animalia,Arthropoda,Hexapoda,NA,Insecta,bee,,Pterygota,,Hymenoptera,Apocrita,Apoidea,Megachilidae,Megachilinae,,Osmiini,,Osmia,NA,Osmia andrenoides,,,,
Eucera hamata,Hook-spurred Longhorn,Insecta,452929,Animalia,Arthropoda,Hexapoda,NA,Insecta,bee,,Pterygota,,Hymenoptera,Apocrita,Apoidea,Apidae,Apinae,,Eucerini,,Eucera,NA,Eucera hamata,,,,
Megachile browni,,Insecta,308806,Animalia,Arthropoda,Hexapoda,NA,Insecta,bee,,Pterygota,,Hymenoptera,Apocrita,Apoidea,Megachilidae,Megachilinae,,Megachilini,,Megachile,NA,Megachile browni,,,,
Centris rhodopus,Red-legged Oil-Digger,Insecta,205643,Animalia,Arthropoda,Hexapoda,NA,Insecta,bee,,Pterygota,,Hymenoptera,Apocrita,Apoidea,Apidae,Apinae,,Centridini,,Centris,NA,Centris rhodopus,,,,
Pithitis,,Insecta,572880,Animalia,Arthropoda,Hexapoda,NA,Insecta,bee,,Pterygota,,Hymenoptera,Apocrita,Apoidea,Apidae,Xylocopinae,,Ceratinini,,Ceratina,NA,,,,,
Amegilla albigena,,Insecta,418561,Animalia,Arthropoda,Hexapoda,NA,Insecta,bee,,Pterygota,,Hymenoptera,Apocrita,Apoidea,Apidae,Apinae,,Anthophorini,,Amegilla,NA,Amegilla albigena,,,,
Cerceris tolteca,,Insecta,300096,Animalia,Arthropoda,Hexapoda,NA,Insecta,bee,,Pterygota,,Hymenoptera,Apocrita,Apoidea,Crabronidae,Philanthinae,,Cercerini,,Cerceris,NA,Cerceris tolteca,,,,
Sphecius grandis,Western Cicada-killer Wasp,Insecta,205711,Animalia,Arthropoda,Hexapoda,NA,Insecta,bee,,Pterygota,,Hymenoptera,Apocrita,Apoidea,Crabronidae,Bembicinae,,Bembicini,Spheciina,Sphecius,NA,Sphecius grandis,,,,
Ancyloscelis melanostoma,Black-mouthed Morning glory-Digger,Insecta,307107,Animalia,Arthropoda,Hexapoda,NA,Insecta,bee,,Pterygota,,Hymenoptera,Apocrita,Apoidea,Apidae,Apinae,,Emphorini,,Ancyloscelis,NA,Ancyloscelis melanostoma,,,,
Megachile spinotulata,,Insecta,271437,Animalia,Arthropoda,Hexapoda,NA,Insecta,bee,,Pterygota,,Hymenoptera,Apocrita,Apoidea,Megachilidae,Megachilinae,,Megachilini,,Megachile,NA,Megachile spinotulata,,,,
Anthidium florentinum,Florentine Woolcarder Bee,Insecta,459050,Animalia,Arthropoda,Hexapoda,NA,Insecta,bee,,Pterygota,,Hymenoptera,Apocrita,Apoidea,Megachilidae,Megachilinae,,Anthidiini,,Anthidium,NA,Anthidium florentinum,,,,
Nomia nortoni nortoni,,Insecta,313830,Animalia,Arthropoda,Hexapoda,NA,Insecta,bee,,Pterygota,,Hymenoptera,Apocrita,Apoidea,Halictidae,Nomiinae,,,,Nomia,NA,Nomia nortoni,,Nomia nortoni nortoni,,
Anthophora quadrimaculata,Four-banded Flower Bee,Insecta,484632,Animalia,Arthropoda,Hexapoda,NA,Insecta,bee,,Pterygota,,Hymenoptera,Apocrita,Apoidea,Apidae,Apinae,,Anthophorini,,Anthophora,NA,Anthophora quadrimaculata,,,,
Hylaeus nelumbonis,Nelumbo Masked Bee,Insecta,452956,Animalia,Arthropoda,Hexapoda,NA,Insecta,bee,,Pterygota,,Hymenoptera,Apocrita,Apoidea,Colletidae,Hylaeinae,,,,Hylaeus,NA,Hylaeus nelumbonis,,,,
Stelis signata,Yellow-spotted Dark Bee,Insecta,502564,Animalia,Arthropoda,Hexapoda,NA,Insecta,bee,,Pterygota,,Hymenoptera,Apocrita,Apoidea,Megachilidae,Megachilinae,,Anthidiini,,Stelis,NA,Stelis signata,,,,
Tetragonula mellipes,Orange-footed Stingless Bee,Insecta,848738,Animalia,Arthropoda,Hexapoda,NA,Insecta,bee,,Pterygota,,Hymenoptera,Apocrita,Apoidea,Apidae,Apinae,,Meliponini,,Tetragonula,NA,Tetragonula mellipes,,,,
Austroplebeia essingtoni,Essington's Austral-Stingless Bee,Insecta,1036913,Animalia,Arthropoda,Hexapoda,NA,Insecta,bee,,Pterygota,,Hymenoptera,Apocrita,Apoidea,Apidae,Apinae,,Meliponini,,Austroplebeia,NA,Austroplebeia essingtoni,,,,
Peponapis,Squash Bees,Insecta,57680,Animalia,Arthropoda,Hexapoda,NA,Insecta,bee,,Pterygota,,Hymenoptera,Apocrita,Apoidea,Apidae,Apinae,,Eucerini,,Peponapis,NA,,,,,
Ectemnius rufipes ais,,Insecta,1156728,Animalia,Arthropoda,Hexapoda,NA,Insecta,bee,,Pterygota,,Hymenoptera,Apocrita,Apoidea,Crabronidae,Crabroninae,,Crabronini,Crabronina,Ectemnius,NA,Ectemnius rufipes,,Ectemnius rufipes ais,,
Dieunomia nevadensis bakeri,Baker's Nomia,Insecta,313727,Animalia,Arthropoda,Hexapoda,NA,Insecta,bee,,Pterygota,,Hymenoptera,Apocrita,Apoidea,Halictidae,Nomiinae,,,,Dieunomia,NA,Dieunomia nevadensis,,Dieunomia nevadensis bakeri,,
Amegilla quadrifasciata,Four-striped Digger Bee,Insecta,333438,Animalia,Arthropoda,Hexapoda,NA,Insecta,bee,,Pterygota,,Hymenoptera,Apocrita,Apoidea,Apidae,Apinae,,Anthophorini,,Amegilla,NA,Amegilla quadrifasciata,,,,
Xylocopa fenestrata,Windowed Carpenter,Insecta,601825,Animalia,Arthropoda,Hexapoda,NA,Insecta,bee,,Pterygota,,Hymenoptera,Apocrita,Apoidea,Apidae,Xylocopinae,,Xylocopini,,Xylocopa,NA,Xylocopa fenestrata,,,,
Bicyrtes insidiatrix,,Insecta,787035,Animalia,Arthropoda,Hexapoda,NA,Insecta,bee,,Pterygota,,Hymenoptera,Apocrita,Apoidea,Crabronidae,Bembicinae,,Bembicini,Bembicina,Bicyrtes,NA,Bicyrtes insidiatrix,,,,
Stelis laticincta,Wide-striped Painted-Dark bee,Insecta,346308,Animalia,Arthropoda,Hexapoda,NA,Insecta,bee,,Pterygota,,Hymenoptera,Apocrita,Apoidea,Megachilidae,Megachilinae,,Anthidiini,,Stelis,NA,Stelis laticincta,,,,
Megachile inimica sayi,,Insecta,313945,Animalia,Arthropoda,Hexapoda,NA,Insecta,bee,,Pterygota,,Hymenoptera,Apocrita,Apoidea,Megachilidae,Megachilinae,,Megachilini,,Megachile,NA,Megachile inimica,,Megachile inimica sayi,,
Megachile parallela,,Insecta,203033,Animalia,Arthropoda,Hexapoda,NA,Insecta,bee,,Pterygota,,Hymenoptera,Apocrita,Apoidea,Megachilidae,Megachilinae,,Megachilini,,Megachile,NA,Megachile parallela,,,,
Triepeolus concavus,Concave Longhorn-Cuckoo,Insecta,452935,Animalia,Arthropoda,Hexapoda,NA,Insecta,bee,,Pterygota,,Hymenoptera,Apocrita,Apoidea,Apidae,Nomadinae,,Epeolini,,Triepeolus,NA,Triepeolus concavus,,,,
Lasioglossum nigripes,,Insecta,703102,Animalia,Arthropoda,Hexapoda,NA,Insecta,bee,,Pterygota,,Hymenoptera,Apocrita,Apoidea,Halictidae,Halictinae,,Halictini,,Lasioglossum,NA,Lasioglossum nigripes,,,,
Ceratina parvula,,Insecta,572669,Animalia,Arthropoda,Hexapoda,NA,Insecta,bee,,Pterygota,,Hymenoptera,Apocrita,Apoidea,Apidae,Xylocopinae,,Ceratinini,,Ceratina,NA,Ceratina parvula,,,,
Coelioxys sodalis,,Insecta,626758,Animalia,Arthropoda,Hexapoda,NA,Insecta,bee,,Pterygota,,Hymenoptera,Apocrita,Apoidea,Megachilidae,Megachilinae,,Megachilini,,Coelioxys,NA,Coelioxys sodalis,,,,
Cemolobus ipomoeae,,Insecta,486836,Animalia,Arthropoda,Hexapoda,NA,Insecta,bee,,Pterygota,,Hymenoptera,Apocrita,Apoidea,Apidae,Apinae,,Eucerini,,Cemolobus,NA,Cemolobus ipomoeae,,,,
Ammophila heydeni,,Insecta,466443,Animalia,Arthropoda,Hexapoda,NA,Insecta,bee,,Pterygota,,Hymenoptera,Apocrita,Apoidea,Sphecidae,Ammophilinae,,Ammophilini,,Ammophila,NA,Ammophila heydeni,,,,
Ceratina chalcites,Coppery Small Carpenter,Insecta,572818,Animalia,Arthropoda,Hexapoda,NA,Insecta,bee,,Pterygota,,Hymenoptera,Apocrita,Apoidea,Apidae,Xylocopinae,,Ceratinini,,Ceratina,NA,Ceratina chalcites,,,,
Calliopsis subalpina,,Insecta,548084,Animalia,Arthropoda,Hexapoda,NA,Insecta,bee,,Pterygota,,Hymenoptera,Apocrita,Apoidea,Andrenidae,Panurginae,,Calliopsini,,Calliopsis,NA,Calliopsis subalpina,,,,
Cerceris kennicottii,,Insecta,265761,Animalia,Arthropoda,Hexapoda,NA,Insecta,bee,,Pterygota,,Hymenoptera,Apocrita,Apoidea,Crabronidae,Philanthinae,,Cercerini,,Cerceris,NA,Cerceris kennicottii,,,,
Cerceris arelate,,Insecta,1008635,Animalia,Arthropoda,Hexapoda,NA,Insecta,bee,,Pterygota,,Hymenoptera,Apocrita,Apoidea,Crabronidae,Philanthinae,,Cercerini,,Cerceris,NA,Cerceris arelate,,,,
Coelioxys coturnix,,Insecta,626593,Animalia,Arthropoda,Hexapoda,NA,Insecta,bee,,Pterygota,,Hymenoptera,Apocrita,Apoidea,Megachilidae,Megachilinae,,Megachilini,,Coelioxys,NA,Coelioxys coturnix,,,,
Triepeolus remigatus,Squash Longhorn-Cuckoo,Insecta,452939,Animalia,Arthropoda,Hexapoda,NA,Insecta,bee,,Pterygota,,Hymenoptera,Apocrita,Apoidea,Apidae,Nomadinae,,Epeolini,,Triepeolus,NA,Triepeolus remigatus,,,,
Apis florea,Red Dwarf-Honey bee,Insecta,245956,Animalia,Arthropoda,Hexapoda,NA,Insecta,bee,,Pterygota,,Hymenoptera,Apocrita,Apoidea,Apidae,Apinae,,Apini,,Apis,NA,Apis florea,,,,
Crabroninae,Square-headed Wasps,Insecta,337421,Animalia,Arthropoda,Hexapoda,NA,Insecta,bee,,Pterygota,,Hymenoptera,Apocrita,Apoidea,Crabronidae,Crabroninae,,,,,NA,,,,,
Nomia westwoodi,Westwood's Pronged-Nomia,Insecta,567921,Animalia,Arthropoda,Hexapoda,NA,Insecta,bee,,Pterygota,,Hymenoptera,Apocrita,Apoidea,Halictidae,Nomiinae,,,,Nomia,NA,Nomia westwoodi,,,,
Oxystoglossella,,Insecta,571282,Animalia,Arthropoda,Hexapoda,NA,Insecta,bee,,Pterygota,,Hymenoptera,Apocrita,Apoidea,Halictidae,Halictinae,,Augochlorini,,Augochlora,NA,,,,,
Calloceratina,,Insecta,572872,Animalia,Arthropoda,Hexapoda,NA,Insecta,bee,,Pterygota,,Hymenoptera,Apocrita,Apoidea,Apidae,Xylocopinae,,Ceratinini,,Ceratina,NA,,,,,
Sphex flavovestitus,,Insecta,265795,Animalia,Arthropoda,Hexapoda,NA,Insecta,bee,,Pterygota,,Hymenoptera,Apocrita,Apoidea,Sphecidae,Sphecinae,,Sphecini,,Sphex,NA,Sphex flavovestitus,,,,
Bombus pensylvanicus pensylvanicus,,Insecta,313869,Animalia,Arthropoda,Hexapoda,NA,Insecta,bee,,Pterygota,,Hymenoptera,Apocrita,Apoidea,Apidae,Apinae,,Bombini,,Bombus,NA,Bombus pensylvanicus,,Bombus pensylvanicus pensylvanicus,,
Lipotriches,,Insecta,504216,Animalia,Arthropoda,Hexapoda,NA,Insecta,bee,,Pterygota,,Hymenoptera,Apocrita,Apoidea,Halictidae,Nomiinae,,,,Lipotriches,NA,,,,,
Spatulariella,,Insecta,578688,Animalia,Arthropoda,Hexapoda,NA,Insecta,bee,,Pterygota,,Hymenoptera,Apocrita,Apoidea,Colletidae,Hylaeinae,,,,Hylaeus,NA,,,,,
Philanthus triangulum,European beewolf,Insecta,143529,Animalia,Arthropoda,Hexapoda,NA,Insecta,bee,,Pterygota,,Hymenoptera,Apocrita,Apoidea,Crabronidae,Philanthinae,,Philanthini,Philanthina,Philanthus,NA,Philanthus triangulum,,,,
Calliopsima,,Insecta,571485,Animalia,Arthropoda,Hexapoda,NA,Insecta,bee,,Pterygota,,Hymenoptera,Apocrita,Apoidea,Andrenidae,Panurginae,,Calliopsini,,Calliopsis,NA,,,,,
Nomia curvipes,Curvy-legged Nomia,Insecta,914184,Animalia,Arthropoda,Hexapoda,NA,Insecta,bee,,Pterygota,,Hymenoptera,Apocrita,Apoidea,Halictidae,Nomiinae,,,,Nomia,NA,Nomia curvipes,,,,
Neopasiphaeinae,,Insecta,636890,Animalia,Arthropoda,Hexapoda,NA,Insecta,bee,,Pterygota,,Hymenoptera,Apocrita,Apoidea,Colletidae,Neopasiphaeinae,,,,,NA,,,,,
Leioproctus,,Insecta,602760,Animalia,Arthropoda,Hexapoda,NA,Insecta,bee,,Pterygota,,Hymenoptera,Apocrita,Apoidea,Colletidae,Neopasiphaeinae,,,,Leioproctus,NA,,,,,
Exomalopsis,,Insecta,252943,Animalia,Arthropoda,Hexapoda,NA,Insecta,bee,,Pterygota,,Hymenoptera,Apocrita,Apoidea,Apidae,Apinae,,Exomalopsini,,Exomalopsis,NA,,,,,
Nomiinae,Nomiine bees,Insecta,487187,Animalia,Arthropoda,Hexapoda,NA,Insecta,bee,,Pterygota,,Hymenoptera,Apocrita,Apoidea,Halictidae,Nomiinae,,,,,NA,,,,,
Neocoelioxys,,Insecta,626522,Animalia,Arthropoda,Hexapoda,NA,Insecta,bee,,Pterygota,,Hymenoptera,Apocrita,Apoidea,Megachilidae,Megachilinae,,Megachilini,,Coelioxys,NA,,,,,
Trichocolletes erythrurus,,Insecta,1322247,Animalia,Arthropoda,Hexapoda,NA,Insecta,bee,,Pterygota,,Hymenoptera,Apocrita,Apoidea,Colletidae,Neopasiphaeinae,,,,Trichocolletes,NA,Trichocolletes erythrurus,,,,
Ceratina acantha,,Insecta,309461,Animalia,Arthropoda,Hexapoda,NA,Insecta,bee,,Pterygota,,Hymenoptera,Apocrita,Apoidea,Apidae,Xylocopinae,,Ceratinini,,Ceratina,NA,Ceratina acantha,,,,
